,user_id,item_id,rating
0,186,302,3
1,22,377,1
2,244,51,2
3,166,346,1
4,298,474,4
5,115,265,2
6,253,465,5
7,305,451,3
8,6,86,3
9,62,257,2
10,286,1014,5
11,200,222,5
12,210,40,3
13,224,29,3
14,303,785,3
15,122,387,5
16,194,274,2
17,291,1042,4
18,234,1184,2
19,119,392,4
20,167,486,4
21,299,144,4
22,291,118,2
23,95,546,2
24,38,95,5
25,102,768,2
26,63,277,4
27,160,234,5
28,50,246,3
29,301,98,4
30,225,193,4
31,290,88,4
32,97,194,3
33,157,274,4
34,181,1081,1
35,278,603,5
36,276,796,1
37,7,32,4
38,10,16,4
39,284,304,4
40,201,979,2
41,276,564,3
42,287,327,5
43,246,201,5
44,242,1137,5
45,249,241,5
46,99,4,5
47,178,332,3
48,251,100,4
49,81,432,2
50,260,322,4
51,25,181,5
52,59,196,5
53,72,679,2
54,87,384,4
55,290,143,5
56,42,423,5
57,292,515,4
58,115,20,3
59,20,288,1
60,201,219,4
61,13,526,3
62,246,919,4
63,138,26,5
64,167,232,1
65,60,427,5
66,57,304,5
67,223,274,4
68,189,512,4
69,243,15,3
70,92,1049,1
71,246,416,3
72,194,165,4
73,241,690,2
74,178,248,4
75,254,1444,3
76,293,5,3
77,127,229,5
78,225,237,5
79,299,229,3
80,225,480,5
81,276,54,3
82,291,144,5
83,222,366,4
84,267,518,5
85,42,403,3
86,11,111,4
87,95,625,4
88,8,338,4
89,162,25,4
90,87,1016,4
91,279,154,5
92,145,275,2
93,119,1153,5
94,62,498,4
95,62,382,3
96,28,209,4
97,135,23,4
98,32,294,3
99,90,382,5
100,286,208,4
101,293,685,3
102,216,144,4
103,166,328,5
104,250,496,4
105,271,132,5
106,160,174,5
107,265,118,4
108,198,498,3
109,42,96,5
110,168,151,5
111,110,307,4
112,58,144,4
113,90,648,4
114,271,346,4
115,62,21,3
116,279,832,3
117,237,514,4
118,94,789,4
119,128,485,3
120,298,317,4
121,44,195,5
122,264,200,5
123,194,385,2
124,72,195,5
125,222,750,5
126,250,264,3
127,41,265,3
128,224,245,3
129,82,135,3
130,262,1147,4
131,293,471,3
132,216,658,3
133,250,140,3
134,59,23,5
135,286,379,5
136,244,815,4
137,7,479,4
138,174,368,1
139,87,274,4
140,194,1211,2
141,82,1134,2
142,13,836,2
143,13,272,4
144,244,756,2
145,305,427,5
146,95,787,2
147,43,14,2
148,299,955,4
149,57,419,3
150,84,405,3
151,269,504,4
152,299,111,3
153,194,466,4
154,160,135,4
155,99,268,3
156,10,486,4
157,259,117,4
158,85,427,3
159,303,919,4
160,213,273,5
161,121,514,3
162,90,98,5
163,49,559,2
164,42,794,3
165,155,323,2
166,68,117,4
167,172,177,4
168,19,4,4
169,268,231,4
170,5,2,3
171,305,117,2
172,44,294,4
173,43,137,4
174,279,1336,1
175,80,466,5
176,254,164,4
177,298,281,3
178,279,1240,1
179,66,298,4
180,18,443,3
181,268,1035,2
182,99,79,4
183,13,98,4
184,26,258,3
185,7,455,4
186,222,755,4
187,200,673,5
188,119,328,4
189,213,172,5
190,276,322,3
191,94,1217,3
192,130,379,4
193,38,328,4
194,160,719,3
195,293,1267,3
196,26,930,2
197,130,216,4
198,92,1079,3
199,256,452,4
200,1,61,4
201,72,48,4
202,56,755,3
203,13,360,4
204,15,405,2
205,92,77,3
206,207,476,2
207,292,174,5
208,232,483,5
209,251,748,2
210,224,26,3
211,181,220,4
212,259,255,4
